distance_coefficient,max_throughput,min_latency,latency_at_50pct_throughput,avg_hops_mean,routing_type
-4,9.0144,15.153333,18.69459091622081,2.5337846363636363,Conservative
-2,9.0369,15.153333,18.587687726280013,2.536943090909091,Conservative
0,9.274,15.195873,18.33953351590673,2.541041636363637,Pure Congestion
2,9.3567,15.139683,17.83217406622527,2.5459849090909095,Load Balancing
4,9.3988,15.139683,17.859341688897977,2.54789,Load Balancing
