injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.01,0.315000,0.004922,15.153333,2.522222,13.153333,2,3150,3151
0.1,3.188800,0.049825,16.702114,2.496658,14.695183,2.006931,31888,31948
0.2,6.366200,0.099472,21.504068,2.528057,18.975464,2.528604,63662,63803
0.3,8.225200,0.128519,395.805610,2.625349,36.908610,358.896999,82252,82563
0.4,8.940100,0.139689,1135.593304,2.535436,43.071364,1092.521940,89401,89823
0.5,9.010100,0.140783,1850.356300,2.534537,42.891932,1807.464368,90101,90494
0.6,8.928300,0.139505,2408.872193,2.522106,43.313173,2365.559020,89283,89677
0.7,8.947200,0.139800,2772.118249,2.524965,43.070592,2729.047657,89472,89874
0.8,9.014400,0.140850,3069.493943,2.528922,43.081314,3026.412629,90144,90545
0.9,8.959000,0.139984,3272.383067,2.530432,43.360888,3229.022179,89590,89979
1.0,8.925900,0.139467,3439.446577,2.522947,43.737517,3395.709060,89259,89652
