injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.01,0.315000,0.004922,15.139683,2.522222,13.139683,2,3150,3151
0.1,3.189000,0.049828,16.283600,2.493599,14.277328,2.006272,31890,31948
0.2,6.368300,0.099505,19.589325,2.511540,17.352198,2.237128,63683,63803
0.3,8.463600,0.132244,352.347937,2.630600,35.294201,317.053736,84636,84956
0.4,9.274300,0.144911,1008.321652,2.552873,42.494086,965.827567,92743,93155
0.5,9.323600,0.145681,1782.917425,2.554711,42.645727,1740.271698,93236,93643
0.6,9.300400,0.145319,2336.019870,2.548176,42.713109,2293.306761,93004,93394
0.7,9.355500,0.146180,2716.195863,2.548974,42.528331,2673.667532,93555,93977
0.8,9.302800,0.145356,3004.175302,2.546070,42.629724,2961.545578,93028,93423
0.9,9.311100,0.145486,3232.918699,2.550756,42.662929,3190.255770,93111,93512
1.0,9.356700,0.146198,3403.779645,2.546313,42.513557,3361.266087,93567,93985
