strategy,max_throughput,latency_at_50pct,hops_at_50pct
x_first,9.274,18.33953351590673,2.5039685767330626
uniform,9.1902,18.676026522765813,2.503726314136783
z_first,9.092,22.71416154408616,2.5229147544086157
