pattern,max_throughput_deterministic,max_throughput_mesh,max_throughput_adaptive,throughput_improvement_adaptive_vs_det,throughput_improvement_adaptive_vs_mesh,latency_at_50pct_deterministic,latency_at_50pct_mesh,latency_at_50pct_adaptive,latency_improvement_adaptive_vs_det,latency_improvement_adaptive_vs_mesh
uniform_random,6.3645,1.7769,7.3685,15.775001964019179,314.682874669368,1410.169199,20.982328,19.43502462210072,98.62179484306687,7.374316986653147
shuffle,9.3824,7.5858,8.1006,-13.661749658935884,6.786363995887054,65.87691383356741,40.74319868296104,20.09584533653392,69.49485917433167,50.67680990658674
transpose,5.9626,3.0192,8.972,50.471270922080954,197.16481187069422,55.176684,290.674509,19.002560619603525,65.56052440628089,93.46259818758188
tornado,12.7781,12.7771,10.0795,-21.118945696152018,-21.11277206877931,15.653366485420777,16.64971431757667,16.8603973530263,-7.710998581229965,-1.265385287885797
neighbor,12.7797,12.7792,12.4464,-2.6080424423108486,-2.604231876799791,14.651495848389017,15.650559101559564,15.082293482112544,-2.94029796125489,3.630960502812919
bit_complement,12.776,6.3848,6.3637,-50.19020037570445,-0.3304723718832315,18.151726889672023,30.25977998678599,17.822969,1.8111659109364382,41.10013685564458
bit_reverse,5.7892,3.5928,9.274,60.194845574518055,158.12736584279668,61.965354,71.621324,18.33953351590673,70.40356855557263,74.3937524585461
bit_rotation,7.5864,6.7874,7.6813,1.2509227037857216,13.169991454754404,34.509224936893986,28.592208816176466,19.023530291602405,44.87407258091081,33.46603470229428
