injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.01,0.315000,0.004922,15.194603,2.522222,13.194603,2,3150,3151
0.1,3.188900,0.049827,16.706764,2.505740,14.699395,2.007369,31889,31948
0.2,6.367300,0.099489,21.159267,2.554655,18.792565,2.366702,63673,63803
0.3,8.609000,0.134516,339.285922,2.710348,35.875433,303.410489,86090,86409
0.4,9.198200,0.143722,1146.852667,2.659342,41.236557,1105.616110,91982,92371
0.5,9.340700,0.145948,1856.610618,2.623251,40.686672,1815.923946,93407,93795
0.6,9.317100,0.145580,2388.984416,2.629960,40.641165,2348.343251,93171,93576
0.7,9.289300,0.145145,2778.513516,2.629264,40.818038,2737.695478,92893,93295
0.8,9.290400,0.145162,3055.387120,2.631263,40.884978,3014.502142,92904,93295
0.9,9.294100,0.145220,3278.271581,2.632405,40.822500,3237.449081,92941,93331
1.0,9.351200,0.146113,3437.616263,2.621677,40.605249,3397.011015,93512,93884
