injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.01,0.315000,0.004922,15.241905,2.528571,13.241905,2,3150,3151
0.1,3.188500,0.049820,18.121311,2.592045,16.108797,2.012514,31885,31948
0.2,6.257900,0.097780,110.243868,2.725397,34.024225,76.219642,62579,62796
0.3,7.132000,0.111437,1137.415536,2.770466,48.490662,1088.924874,71320,71676
0.4,7.142400,0.111600,2064.566434,2.774485,49.131664,2015.434770,71424,71788
0.5,7.169500,0.112023,2647.560179,2.778976,48.994728,2598.565451,71695,72063
0.6,7.172400,0.112069,3039.519993,2.775005,49.002328,2990.517665,71724,72095
0.7,7.159700,0.111870,3334.349288,2.778776,49.099851,3285.249438,71597,71950
0.8,7.150700,0.111730,3548.027718,2.768720,49.113304,3498.914414,71507,71870
0.9,7.166200,0.111972,3709.404594,2.779669,49.064176,3660.340418,71662,72027
1.0,7.164600,0.111947,3831.638766,2.770758,49.058119,3782.580647,71646,72026
