injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.01,0.315000,0.004922,15.195873,2.522222,13.195873,2,3150,3151
0.1,3.189300,0.049833,16.618819,2.493163,14.618819,2,31893,31948
0.2,6.367200,0.099488,20.522632,2.502844,18.517967,2.004665,63672,63806
0.3,9.317800,0.145591,126.172047,2.562643,38.939889,87.232158,93178,93545
0.4,10.200300,0.159380,720.148172,2.602310,73.888435,646.259737,102003,102805
0.5,10.292200,0.160816,1545.265619,2.606051,74.133159,1471.132460,102922,103721
0.6,10.217600,0.159650,2150.498679,2.595315,75.142568,2075.356111,102176,102964
0.7,10.245200,0.160081,2542.060653,2.606993,76.293562,2465.767091,102452,103234
0.8,10.306900,0.161045,2851.908110,2.599700,75.250124,2776.657986,103069,103880
0.9,10.268100,0.160439,3080.221852,2.601674,75.274880,3004.946972,102681,103515
1.0,10.298800,0.160919,3276.550753,2.593089,74.183235,3202.367519,102988,103803
