injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.01,0.275900,0.004311,17.693367,3.457412,15.487858,2.205509,2759,2768
0.1,2.027700,0.031683,950.293387,3.099174,31.740938,918.552449,20277,20354
0.2,2.122700,0.033167,2716.639045,2.990223,32.347199,2684.291845,21227,21310
0.3,2.123700,0.033183,3476.557047,2.989878,32.357254,3444.199793,21237,21316
0.4,2.123600,0.033181,3853.731070,2.989888,32.358542,3821.372528,21236,21318
0.5,2.123800,0.033184,4082.072794,2.989229,32.357096,4049.715698,21238,21321
0.6,2.124000,0.033188,4238.787006,2.989145,32.357580,4206.429426,21240,21320
0.7,2.124200,0.033191,4349.167122,2.988948,32.358253,4316.808869,21242,21322
0.8,2.124200,0.033191,4432.520196,2.988713,32.356746,4400.163450,21242,21322
0.9,2.124200,0.033191,4498.911308,2.988553,32.356275,4466.555032,21242,21322
1.0,2.124200,0.033191,4547.745692,2.988534,32.355710,4515.389982,21242,21324
