injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.01,0.275900,0.004311,17.222182,3.457412,15.222182,2,2759,2824
0.1,2.766900,0.043233,76.269760,3.421791,62.358126,13.911634,27669,27917
0.2,3.469700,0.054214,1357.312304,3.019908,150.789550,1206.522754,34697,35290
0.3,3.584900,0.056014,2429.854640,3.011785,157.925326,2271.929315,35849,36492
0.4,3.525900,0.055092,3111.166142,3.012498,160.697496,2950.468646,35259,35902
0.5,3.605800,0.056341,3436.993483,3.005846,157.626823,3279.366659,36058,36703
0.6,3.558700,0.055605,3739.477253,3.017735,159.253997,3580.223256,35587,36227
0.7,3.564500,0.055695,3919.376070,3.022298,158.676112,3760.699958,35645,36291
0.8,3.567700,0.055745,4049.374667,3.059670,159.686633,3889.688034,35677,36315
0.9,3.571400,0.055803,4187.136865,3.063648,159.618973,4027.517892,35714,36356
1.0,3.553200,0.055519,4265.549195,3.123627,161.059890,4104.489305,35532,36190
