injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.01,0.315000,0.004922,15.195873,2.522222,13.195873,2,3150,3151
0.1,3.189300,0.049833,16.615746,2.493163,14.615746,2,31893,31948
0.2,6.367200,0.099488,20.536908,2.507438,18.533358,2.003549,63672,63806
0.3,9.193100,0.143642,174.600668,2.621482,41.277088,133.323580,91931,92327
0.4,10.233000,0.159891,765.946673,2.677368,74.938444,691.008228,102330,103115
0.5,10.266600,0.160416,1594.811593,2.664537,75.540393,1519.271200,102666,103509
0.6,10.264300,0.160380,2166.360599,2.669170,76.041162,2090.319437,102643,103448
0.7,10.282200,0.160659,2576.905205,2.665055,75.972798,2500.932407,102822,103599
0.8,10.289400,0.160772,2883.968881,2.666060,75.572171,2808.396709,102894,103722
0.9,10.239100,0.159986,3118.624498,2.662374,76.094530,3042.529968,102391,103202
1.0,10.270500,0.160477,3314.370089,2.673048,76.190906,3238.179183,102705,103515
