injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.01,0.315000,0.004922,15.195873,2.522222,13.195873,2,3150,3151
0.1,3.189300,0.049833,16.618819,2.493163,14.618819,2,31893,31948
0.2,6.367500,0.099492,20.456835,2.502599,18.451417,2.005418,63675,63806
0.3,9.280400,0.145006,119.856030,2.558625,38.950024,80.906006,92804,93186
0.4,9.846500,0.153852,756.117392,2.550844,76.988331,679.129061,98465,99296
0.5,9.903600,0.154744,1549.434155,2.561927,77.366402,1472.067753,99036,99877
0.6,9.889000,0.154516,2134.803155,2.538679,76.149621,2058.653534,98890,99744
0.7,9.949400,0.155459,2554.685971,2.561766,74.182654,2480.503317,99494,100341
0.8,9.937300,0.155270,2883.036046,2.558748,76.381029,2806.655017,99373,100194
0.9,10.018200,0.156534,3121.464285,2.551131,75.749985,3045.714300,100182,101014
1.0,9.832700,0.153636,3285.486601,2.547178,77.320695,3208.165906,98327,99145
