injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.01,0.275900,0.004311,17.194273,3.457412,15.191011,2.003262,2759,2776
0.1,2.596200,0.040566,269.991796,3.337609,34.635390,235.356406,25962,26076
0.2,3.200600,0.050009,1583.242330,3.014709,43.411548,1539.830782,32006,32169
0.3,3.118600,0.048728,2776.800167,3.003462,44.704419,2732.095748,31186,31345
0.4,3.101300,0.048458,3333.099668,3.003378,44.978525,3288.121143,31013,31168
0.5,3.101600,0.048462,3661.343436,3.003281,44.983783,3616.359653,31016,31174
0.6,3.131800,0.048934,3881.796858,3.001622,44.538253,3837.258605,31318,31477
0.7,3.147300,0.049177,4041.574715,3.000928,44.316208,3997.258507,31473,31631
0.8,3.162500,0.049414,4161.517186,2.999798,44.100490,4117.416696,31625,31783
0.9,3.162400,0.049412,4258.608588,2.999772,44.098849,4214.509739,31624,31783
1.0,3.177600,0.049650,4330.754406,2.998792,43.885637,4286.868769,31776,31938
