injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.1,3.188500,0.049820,18.376792,2.996764,16.363306,2.013486,31885,31948
0.2,6.292800,0.098325,101.194572,2.999689,39.869422,61.325149,62928,63189
0.3,6.978700,0.109042,1258.971356,2.902159,44.262800,1214.708556,69787,70101
0.4,7.545200,0.117894,1754.913057,2.820589,43.759330,1711.153727,75452,75787
0.5,7.584200,0.118503,2370.393463,2.815783,43.782205,2326.611258,75842,76180
0.6,7.585200,0.118519,2810.035503,2.815645,43.799175,2766.236329,75852,76193
0.8,7.586400,0.118538,3368.369477,2.815436,43.782690,3324.586787,75864,76204
