injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.1,3.189900,0.049842,13.137967,1.248742,11.132888,2.005079,31899,31948
0.2,6.371100,0.099548,14.628180,1.249815,12.493981,2.134200,63711,63803
0.3,9.564800,0.149450,18.599584,1.251041,15.129977,3.469607,95648,95797
0.4,12.586900,0.196670,100.918129,1.250066,20.062152,80.855977,125869,126134
0.5,12.772800,0.199575,1000.199729,1.249978,20.480568,979.719161,127728,128005
0.6,12.777700,0.199652,1669.177598,1.249972,20.490495,1648.687103,127777,128048
0.8,12.779700,0.199683,2509.748179,1.249972,20.494472,2489.253707,127797,128065
