injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.1,3.191700,0.049870,18.953504,3.008394,16.948084,2.005420,31917,31970
0.2,6.364500,0.099445,25.640820,2.997553,23.358300,2.282520,63645,63797
0.3,1.385200,0.021644,69.138175,2.975744,39.804072,29.334103,13852,14184
0.4,4.696500,0.073383,824.427276,2.995833,38.082572,786.344704,46965,47280
0.5,0.521500,0.008148,146.649473,2.974880,43.400767,103.248706,5215,5555
0.6,0.518500,0.008102,169.586692,2.958149,42.467117,127.119576,5185,5519
0.8,3.112900,0.048639,1410.169199,2.993061,38.622089,1371.547110,31129,31457
