injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.1,3.169500,0.049523,55.176684,2.995988,32.485345,22.691339,31695,31820
0.2,4.973600,0.077713,758.782331,2.865961,56.917183,701.865148,49736,50034
0.3,5.479700,0.085620,1650.345530,2.655708,57.484808,1592.860722,54797,55117
0.4,5.857500,0.091523,2097.452343,2.482812,56.130841,2041.321502,58575,58914
0.5,5.886500,0.091977,2648.228659,2.476402,55.614576,2592.614083,58865,59202
0.6,5.895000,0.092109,3057.094521,2.481479,55.600984,3001.493537,58950,59288
0.8,5.962600,0.093166,3543.870593,2.489669,54.146195,3489.724399,59626,59961
