injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.1,3.188800,0.049825,16.640115,3,14.635035,2.005080,31888,31948
0.2,6.368900,0.099514,18.127981,3,15.993829,2.134152,63689,63803
0.3,9.561200,0.149394,22.096777,3,18.627066,3.469711,95612,95797
0.4,12.582700,0.196605,104.403459,3,23.561978,80.841481,125827,126134
0.5,12.768400,0.199506,1003.358800,3,23.980640,979.378160,127684,128005
0.6,12.773800,0.199591,1672.177113,3,23.990590,1648.186522,127738,128048
0.8,12.776000,0.199625,2512.524593,3,23.994552,2488.530041,127760,128065
