injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.1,3.188600,0.049822,18.394374,2.999103,16.388603,2.005771,31886,31948
0.2,6.250500,0.097664,115.151188,2.987041,36.438077,78.713111,62505,62742
0.3,7.868100,0.122939,713.914465,2.878833,37.243388,676.671077,78681,78988
0.4,9.293400,0.145209,969.714206,2.801693,37.397196,932.317010,92934,93290
0.5,9.378600,0.146541,1719.693856,2.797482,37.296643,1682.397213,93786,94146
0.6,9.381600,0.146588,2264.802720,2.797421,37.705082,2227.097638,93816,94175
0.8,9.382400,0.146600,2960.725859,2.797327,37.557182,2923.168678,93824,94178
