injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.1,3.172100,0.049564,61.965354,2.487003,36.263737,25.701617,31721,31841
0.2,4.736200,0.074003,824.346480,2.250337,57.081901,767.264579,47362,47646
0.3,5.276600,0.082447,1656.765720,2.079364,54.661373,1602.104347,52766,53059
0.4,5.755500,0.089930,1994.213048,1.939001,53.377048,1940.836000,57555,57868
0.5,5.767400,0.090116,2554.027274,1.930499,53.510230,2500.517044,57674,57996
0.6,5.771400,0.090178,2966.740323,1.926203,53.378816,2913.361507,57714,58036
0.8,5.789200,0.090456,3480.668642,1.930255,53.015615,3427.653026,57892,58205
