injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.1,3.189500,0.049836,14.143753,1.751675,12.138674,2.005079,31895,31948
0.2,6.370500,0.099539,15.630312,1.750883,13.496099,2.134212,63705,63803
0.3,9.563400,0.149428,19.598542,1.750573,16.128720,3.469822,95634,95797
0.4,12.586400,0.196662,101.911651,1.749650,21.061328,80.850323,125864,126134
0.5,12.771300,0.199552,1001.078856,1.749964,21.480554,979.598302,127713,128005
0.6,12.776300,0.199630,1669.997088,1.749956,21.490494,1648.506594,127763,128048
0.8,12.778100,0.199658,2510.434533,1.749967,21.494479,2488.940054,127781,128065
