injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.1,3.184900,0.049764,28.680555,6.000301,26.660115,2.020440,31849,31948
0.2,5.644400,0.088194,546.561069,6.097279,74.334296,472.226773,56444,56885
0.3,5.906200,0.092284,1899.631980,6.066480,70.619349,1829.012631,59062,59488
0.4,6.094700,0.095230,2604.017376,6.054517,66.255977,2537.761399,60947,61364
0.5,6.299500,0.098430,3031.241511,6.012439,60.839702,2970.401810,62995,63395
0.6,6.302600,0.098478,3361.177260,6.011808,59.902691,3301.274569,63026,63419
0.8,6.375100,0.099611,3772.326881,6.001329,58.952346,3713.374535,63751,64133
1.0,6.384800,0.099763,4014.946310,5.999349,56.671094,3958.275216,63848,64192
