injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.1,1.748500,0.027320,20.982328,3.816543,18.084358,2.897970,17485,17735
0.2,1.776900,0.027764,42.976870,3.831223,22.459790,20.517080,17769,18025
0.3,1.660200,0.025941,195.525238,3.749307,32.676906,162.848332,16602,16858
0.4,1.639000,0.025609,386.919585,3.778340,34.780903,352.138682,16390,16646
0.5,1.618000,0.025281,548.232386,3.833869,36.123918,512.108467,16180,16436
0.6,1.459100,0.022798,575.468097,3.800356,36.047632,539.420465,14591,14847
0.8,1.715200,0.026800,848.389284,3.841943,35.600979,812.788305,17152,17408
1.0,1.701200,0.026581,897.406889,3.845286,35.604750,861.802140,17012,17268
