injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.1,3.189200,0.049831,15.136680,2.248231,13.131600,2.005080,31892,31948
0.2,6.369900,0.099530,16.626525,2.249028,14.492300,2.134225,63699,63803
0.3,9.562200,0.149409,20.595815,2.249352,17.126069,3.469745,95622,95797
0.4,12.585100,0.196642,102.913676,2.250279,22.062590,80.851086,125851,126134
0.5,12.770100,0.199533,1001.989366,2.249961,22.480591,979.508774,127701,128005
0.6,12.775300,0.199614,1670.866978,2.249969,22.490572,1648.376406,127753,128048
0.8,12.777100,0.199642,2511.239280,2.249958,22.494510,2488.744770,127771,128065
1.0,12.774400,0.199600,3008.564598,2.249962,22.496493,2986.068105,127744,128064
