injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.1,2.571500,0.040180,290.674509,4.169636,71.112930,219.561579,25715,25968
0.2,2.872300,0.044880,1866.825575,3.875671,99.128817,1767.696759,28723,29045
0.3,2.997400,0.046834,2665.462167,3.824570,99.109428,2566.352739,29974,30309
0.4,3.010800,0.047044,3250.658961,3.828124,98.513618,3152.145343,30108,30437
0.5,2.997000,0.046828,3597.761028,3.830427,98.770404,3498.990624,29970,30301
0.6,3.014600,0.047103,3823.071485,3.833158,97.031845,3726.039640,30146,30475
0.8,3.015700,0.047120,4126.402825,3.835047,97.891965,4028.510860,30157,30492
1.0,3.019200,0.047175,4305.069356,3.826760,98.096648,4206.972708,30192,30527
