injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.1,3.085200,0.048206,18.787793,3.096983,16.770744,2.017049,30852,30924
0.2,6.077200,0.094956,113.876325,3.099536,40.857089,73.019236,60772,61042
0.3,6.471700,0.101120,1459.340204,3.047611,45.551972,1413.788232,64717,65027
0.4,6.761700,0.105652,2086.197524,3.002796,45.243533,2040.953991,67617,67934
0.5,6.786000,0.106031,2645.053684,2.999929,45.247421,2599.806263,67860,68182
0.6,6.786600,0.106041,3042.162394,2.999906,45.242301,2996.920093,67866,68191
0.8,6.787400,0.106053,3539.930076,2.999703,45.202390,3494.727687,67874,68196
1.0,6.786600,0.106041,3833.172605,2.999723,45.141396,3788.031209,67866,68182
