injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.1,3.085200,0.048206,19.258784,3.099375,17.249514,2.009270,30852,30924
0.2,6.080100,0.095002,110.178204,3.089987,44.986382,65.191823,60801,61102
0.3,6.875300,0.107427,1180.529679,3.014671,48.344712,1132.184966,68753,69105
0.4,7.535200,0.117737,1624.023689,2.940437,47.466225,1576.557464,75352,75724
0.5,7.582900,0.118483,2262.771024,2.947087,47.444949,2215.326076,75829,76205
0.6,7.584500,0.118508,2721.007885,2.946894,47.441031,2673.566853,75845,76220
0.8,7.585800,0.118528,3297.546561,2.946999,47.200058,3250.346503,75858,76237
1.0,7.585300,0.118520,3641.401382,2.947024,47.440695,3593.960687,75853,76244
