injection_rate,throughput,per_node_throughput,avg_latency,avg_hops,network_latency,queueing_latency,packets_received,packets_injected
0.1,3.189800,0.049841,14.132861,1.745985,12.127782,2.005079,31898,31948
0.2,6.370900,0.099545,15.627274,1.749282,13.493164,2.134110,63709,63803
0.3,9.564100,0.149439,19.603423,1.752968,16.133802,3.469621,95641,95797
0.4,12.585700,0.196652,101.910891,1.749969,21.061912,80.848979,125857,126134
0.5,12.771900,0.199561,1001.129996,1.749709,21.480093,979.649903,127719,128005
0.6,12.776900,0.199639,1670.071966,1.749691,21.490017,1648.581949,127769,128048
0.8,12.779100,0.199673,2510.631336,1.749691,21.494096,2489.137240,127791,128065
1.0,12.779200,0.199675,3008.689198,1.749662,21.495931,2987.193267,127792,128064
